页面,控件,X,Y,宽,高,VP十六进制,SP,图标库,最小图标,最大图标,键值
1,key,46,285,294,57,0x1000,0xFFFF,0,0,0,1
1,key,46,355,294,57,0x1000,0xFFFF,0,0,0,2
1,key,390,355,180,57,0x1000,0xFFFF,0,0,0,3
1,key,603,355,170,57,0x1000,0xFFFF,0,0,0,38
1,icon,608,367,160,32,0x1330,0xFFFF,48,44,47,0
1,icon,390,288,380,32,0x1300,0xFFFF,48,20,43,0
2,icon,28,72,32,32,0x2000,0xFFFF,40,0,39,0
2,icon,60,72,32,32,0x2001,0xFFFF,40,0,39,0
2,icon,92,72,32,32,0x2002,0xFFFF,40,0,39,0
2,icon,124,72,32,32,0x2003,0xFFFF,40,0,39,0
2,icon,156,72,32,32,0x2004,0xFFFF,40,0,39,0
2,icon,188,72,32,32,0x2005,0xFFFF,40,0,39,0
2,icon,220,72,32,32,0x2006,0xFFFF,40,0,39,0
2,icon,252,72,32,32,0x2007,0xFFFF,40,0,39,0
2,icon,284,72,32,32,0x2008,0xFFFF,40,0,39,0
2,icon,316,72,32,32,0x2009,0xFFFF,40,0,39,0
2,icon,348,72,32,32,0x200A,0xFFFF,40,0,39,0
2,icon,28,104,32,32,0x200B,0xFFFF,40,0,39,0
2,icon,60,104,32,32,0x200C,0xFFFF,40,0,39,0
2,icon,92,104,32,32,0x200D,0xFFFF,40,0,39,0
2,icon,124,104,32,32,0x200E,0xFFFF,40,0,39,0
2,icon,156,104,32,32,0x200F,0xFFFF,40,0,39,0
2,icon,188,104,32,32,0x2010,0xFFFF,40,0,39,0
2,icon,220,104,32,32,0x2011,0xFFFF,40,0,39,0
2,icon,252,104,32,32,0x2012,0xFFFF,40,0,39,0
2,icon,284,104,32,32,0x2013,0xFFFF,40,0,39,0
2,icon,316,104,32,32,0x2014,0xFFFF,40,0,39,0
2,icon,348,104,32,32,0x2015,0xFFFF,40,0,39,0
2,icon,28,136,32,32,0x2016,0xFFFF,40,0,39,0
2,icon,60,136,32,32,0x2017,0xFFFF,40,0,39,0
2,icon,92,136,32,32,0x2018,0xFFFF,40,0,39,0
2,icon,124,136,32,32,0x2019,0xFFFF,40,0,39,0
2,icon,156,136,32,32,0x201A,0xFFFF,40,0,39,0
2,icon,188,136,32,32,0x201B,0xFFFF,40,0,39,0
2,icon,220,136,32,32,0x201C,0xFFFF,40,0,39,0
2,icon,252,136,32,32,0x201D,0xFFFF,40,0,39,0
2,icon,284,136,32,32,0x201E,0xFFFF,40,0,39,0
2,icon,316,136,32,32,0x201F,0xFFFF,40,0,39,0
2,icon,348,136,32,32,0x2020,0xFFFF,40,0,39,0
2,icon,28,168,32,32,0x2021,0xFFFF,40,0,39,0
